444	30.4142	82.912	123.06	109.722

445	30.8508	83.44	123.45	110.936
446	31.2909	83.832	123.56	112.151
447	31.7345	84.224	123.67	113.365
448	32.1815	84.616	123.78	114.579
449	32.632	85.008	123.89	115.793

450	33.0859	85.4	124	117.008
451	33.5432	85.696	123.92	117.088
452	34.004	85.992	123.84	117.169
453	34.4682	86.288	123.76	117.249
454	34.9358	86.584	123.68	117.329

455	35.4068	86.88	123.6	117.41
456	35.8811	87.164	123.5	117.49
457	36.3588	87.448	123.4	117.571
458	36.8399	87.732	123.3	117.651
459	37.3243	88.016	123.2	117.732

460	37.8121	88.3	123.1	117.812
461	38.3031	88.656	123.14	117.517
462	38.7975	89.012	123.18	117.222
463	39.2951	89.368	123.22	116.927
464	39.796	89.724	123.26	116.632

465	40.3002	90.08	123.3	116.337
466	40.8076	90.464	123.4	116.041
467	41.3182	90.848	123.5	115.746
468	41.832	91.232	123.6	115.451
469	42.3491	91.616	123.7	115.156

470	42.8693	92	123.8	114.861
471	43.3926	92.35	123.858	114.967
472	43.9192	92.7	123.916	115.073
473	44.4488	93.05	123.974	115.179
474	44.9816	93.4	124.032	115.286

475	45.5174	93.75	124.09	115.392
476	46.0563	94.04	124.052	115.498
477	46.5983	94.33	124.014	115.604
478	47.1433	94.62	123.976	115.71
479	47.6913	94.91	123.938	115.817

480	48.2423	95.2	123.9	115.923
481	48.7963	95.406	123.704	115.212
482	49.3533	95.612	123.508	114.5
483	49.9132	95.818	123.312	113.789
484	50.476	96.024	123.116	113.078

485	51.0418	96.23	122.92	112.367
486	51.6104	96.284	122.476	111.656
487	52.1818	96.338	122.032	110.944
488	52.7561	96.392	121.588	110.233
489	53.3332	96.446	121.144	109.522

490	53.9132	96.5	120.7	108.811
491	54.4958	96.342	119.94	108.865
492	55.0813	96.184	119.18	108.919
493	55.6694	96.026	118.42	108.974
494	56.2603	95.868	117.66	109.028

495	56.8539	95.71	116.9	109.083
496	57.4501	95.408	115.94	109.137
497	58.0489	95.106	114.98	109.191
498	58.6504	94.804	114.02	109.246
499	59.2545	94.502	113.06	109.3

500	59.8611	94.2	112.1	109.354
501	60.4703	93.834	111.076	109.199
502	61.082	93.468	110.052	109.044
503	61.6962	93.102	109.028	108.889
504	62.3128	92.736	108.004	108.733

505	62.932	92.37	106.98	108.578
506	63.5535	92.036	106.044	108.423
507	64.1775	91.702	105.108	108.268
508	64.8038	91.368	104.172	108.112
509	65.4325	91.034	103.236	107.957

510	66.0635	90.7	102.3	107.802
511	66.6968	90.49	101.602	107.501
512	67.3324	90.28	100.904	107.199
